
Traffic rule	MTL Representation	Legal Reference	Note
ego shall not overtake another vehicle if a pedestrian crosswalk is in front of the other vehicle.	G(~overtake(ego, other_vehicle) -> in_front_of(other_vehicle,crosswalk))	VCoRT:Article 11.9	
before overtaking vehicle in front ego shall make sure that other vehicle in behind did not already started to overtake the ego.	G(P[0,t](~overtake(vehicle_behind,ego) -> (in_front_of(ego,vehicle_in_front) & overtake(ego,vehicle_in_front))))		
if there is a traffic light on the ego lane and the traffic color is red, the ego vehicle shall not exceed the stop lane.	G(traffic_light(ego, red) & in_front(stop_line,ego) ⇒ ~exceed_stop_line(ego))	VCoRT:Article 23.1 (a)	
Do not overtake a vehicle on its right side, except in congested traffic, where overtaking on the right is also allowed.	~overtake_right(ego,other) U (congested_traffic -> overtake_right(ego,other))	VCoRT:Article 11.1, 11.6	
If the ego vehicle is not part of congestion or if the directly leading vehicle is not standing, then stopping on the main carriage way, shoulder lane, or ramps is forbidden.	G(~congestion(ego) & (~standing(leading) -> ~(stop_main_carriageway(ego) | stop_shoulder_lane(ego) | stop_ramps(ego))))	StVO: § 18 Rn. 22, § 12(1), § 18(8)	
Making U-turns and reversing is prohibited by ego vehicle.	G((~u_turn(ego) | (~ reverse(ego))	StVO: § 18 (7)	
if Ego vehicle in front of other vehicle then it must not brake suddenly without a compelling reason.	G(in_front_of(ego,other)-> ~sudden_braking(ego)	StVO: § 4 (1)	
If ego vehicle wants to change lanes, turn, or overtake, they should use their turn signals beforehand.	F(change_lanes(ego) | turn(ego) | overtake(ego)) -> F(use_turn_signals(ego)) 	StVO: § 9	condition in past and ramification in present
The ego vehicle has to stop with respect to a stop sign (sign 206) before it enters the intersection at least for a duration of tslw in front of the associated stop line.	G(at_intersection(ego) & at_traffic_sign(ego,206))-> G[0,t]in_standstill(ego)	StVO: § 8	
If ego Vehicle is driving behind another vehicle then it must maintain a safe distance until ego can overtake the other vehicle safely.	G(behind(ego,other) -> F(safe_distance(ego,other) U overtake(ego,other)))	stvo §5	
ego vehicle shall not overtake the vehicle in front until vehichle behind the ego is overtaking the ego vehicle.	~overtake(ego,front_vehicle) U overtake(back,ego)	VCoRT: article. 11(2)(a)	
At intersections and junctions, ego must yield to vehicles coming from right side of ego, provided there is no traffic sign number 306 in front of ego.	G(at_intersection(ego) | at_junction(ego) -> (yield(ego,other) & ~in_front_of(ego, sign_306)))	StVO: § 8	
on the special driveway only prescribed vehicle are allowed to pass and if ego is not prescribed Vehicle it should not travel om special driveway.	G(only_prescribed_vehicles_on_special_driveway & (~ego_prescribed_vehicle -> ~travel_on_special_driveway(ego)))		
It is always the case that if the other vehicle is to the left of the ego vehicle and the ego vehicle drives faster than the other vehicle, then the ego vehicle is to the right of a broad lane marking and the other vehicle is to the left of a solid lane marking.	G((left_of(other,ego) & drives_faster(ego,other)) -> (right_of_broad_marking(ego) & left_of_broad_marking(other)))		
the ego vehicle passes a stop line if the stop line is in front of the ego vehicle and is not in front of it at next time step.	( pass_stop_line(ego) -> (stop_line_in_front(ego) & X(~stop_line_in_front(ego)))		
ego vehicle enters the icey road then from next time ego must slow down untill there is no bad road.	icey_road(ego) -> X(drives_slowly(ego )U ~icey_road(ego)		
if ego vehicle is turning left and other vehicle is going to turn right or other vehicle is onto the oncoming lane then in this case ego shall always yield to other vehicle provided there is no relevent traffic light for ego.	(turn_left(ego) & (turn_right(other) | oncoming_lane(other)) & ~traffic_light(ego)) -> yield(ego,other)	StVO: § 9 (4)	
